[2025-10-29 20:10:49.274] [info] [0] yolo: 40.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:49.329] [info] [1] yolo: 11.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 20:10:49.343] [info] [2] yolo: 11.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:49.388] [info] [3] yolo: 8.1ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.432] [info] [4] yolo: 9.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.479] [info] [5] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.523] [info] [6] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.571] [info] [7] yolo: 11.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.616] [info] [8] yolo: 9.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.661] [info] [9] yolo: 8.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.704] [info] [10] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.750] [info] [11] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.795] [info] [12] yolo: 9.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.842] [info] [13] yolo: 10.1ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:49.884] [info] [14] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.931] [info] [15] yolo: 9.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:49.975] [info] [16] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.019] [info] [17] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.064] [info] [18] yolo: 8.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.107] [info] [19] yolo: 8.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.154] [info] [20] yolo: 10.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.199] [info] [21] yolo: 8.5ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 20:10:50.243] [info] [22] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.284] [info] [23] yolo: 7.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.330] [info] [24] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.373] [info] [25] yolo: 8.0ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 20:10:50.415] [info] [26] yolo: 7.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.461] [info] [27] yolo: 9.5ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.506] [info] [28] yolo: 10.1ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.553] [info] [29] yolo: 9.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.600] [debug] [Target] r=0.047, l=0.000
[2025-10-29 20:10:50.600] [debug] [Tracker] Target diverged!
[2025-10-29 20:10:50.600] [info] [30] yolo: 9.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 20:10:50.646] [info] [31] yolo: 9.5ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.692] [info] [32] yolo: 11.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.739] [info] [33] yolo: 10.3ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.782] [info] [34] yolo: 8.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.828] [info] [35] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.872] [info] [36] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:50.916] [info] [37] yolo: 8.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:50.960] [info] [38] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.004] [info] [39] yolo: 7.6ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 20:10:51.048] [info] [40] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.095] [info] [41] yolo: 10.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.138] [info] [42] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.185] [info] [43] yolo: 9.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.230] [info] [44] yolo: 8.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.275] [info] [45] yolo: 9.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 20:10:51.317] [info] [46] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.362] [info] [47] yolo: 7.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.404] [info] [48] yolo: 7.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.447] [info] [49] yolo: 7.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.490] [info] [50] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.532] [info] [51] yolo: 7.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.575] [info] [52] yolo: 9.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:51.618] [info] [53] yolo: 7.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-29 20:10:51.662] [info] [54] yolo: 8.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.710] [info] [55] yolo: 9.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.753] [info] [56] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-29 20:10:51.799] [info] [57] yolo: 8.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.843] [info] [58] yolo: 10.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.888] [info] [59] yolo: 8.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:51.931] [info] [60] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:51.976] [info] [61] yolo: 9.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:52.021] [debug] [Target] r=0.033, l=0.000
[2025-10-29 20:10:52.021] [debug] [Tracker] Target diverged!
[2025-10-29 20:10:52.021] [info] [62] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:52.067] [info] [63] yolo: 8.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:52.111] [info] [64] yolo: 9.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:52.157] [info] [65] yolo: 11.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:52.200] [info] [66] yolo: 7.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:10:52.244] [info] [67] yolo: 8.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:52.286] [info] [68] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:52.329] [info] [69] yolo: 7.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:52.371] [info] [70] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:10:52.417] [info] [71] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:10:52.461] [info] [72] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.0ms
