[2025-12-14 15:15:43.404] [info] === 海康双相机实时显示 ===
[2025-12-14 15:15:43.404] [info] 相机1序列号: 00DA5751516
[2025-12-14 15:15:43.404] [info] 相机2序列号: 00DA5751514
[2025-12-14 15:15:43.421] [info] 找到 2 台USB设备
[2025-12-14 15:15:43.421] [info] 找到序列号为 00DA5751516 的设备
[2025-12-14 15:15:44.602] [info] 相机 00DA5751516 打开成功, 分辨率: 1440x1080
[2025-12-14 15:15:44.605] [info] 找到 2 台USB设备
[2025-12-14 15:15:44.605] [info] 找到序列号为 00DA5751514 的设备
[2025-12-14 15:15:45.779] [info] 相机 00DA5751514 打开成功, 分辨率: 1440x1080
[2025-12-14 15:15:45.779] [info] 双相机打开成功!
[2025-12-14 15:15:45.797] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.797] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.802] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.802] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.807] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.817] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.822] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.831] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.836] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.845] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.850] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.859] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.864] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.873] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.878] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.888] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.893] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.902] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.907] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.916] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.921] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.930] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.935] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.944] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.949] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.958] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.964] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.973] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.978] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.987] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:45.992] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.001] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.006] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.015] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.020] [warning] 不支持的像素格式: 17301513
