[2025-12-19 22:23:05.238] [info] [Gimbal] read_thread started.
[2025-12-19 22:23:05.238] [info] [Gimbal] First q received.
[2025-12-19 22:23:05.239] [info] HikRobot's daemon thread started.
[2025-12-19 22:23:05.559] [info] [MultiThreadDetector] initialized !
[2025-12-19 22:23:05.560] [info] 初始化相机: FRONT
[2025-12-19 22:23:06.455] [info] HikRobot's capture thread started.
[2025-12-19 22:23:07.561] [info] HikRobot's daemon thread started.
[2025-12-19 22:23:07.831] [info] [MultiThreadDetector] initialized !
[2025-12-19 22:23:07.832] [info] 初始化相机: BACK
[2025-12-19 22:23:08.744] [info] HikRobot's capture thread started.
[2025-12-19 22:23:10.006] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.021] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.037] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.046] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.088] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.097] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.132] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.140] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.150] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.159] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.184] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.194] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.232] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.246] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.258] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.269] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.309] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.324] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.371] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.380] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.395] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.405] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.431] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.440] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.465] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.478] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.488] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.497] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.657] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.674] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.682] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.720] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.736] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.754] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.763] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.800] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.821] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.861] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.871] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.885] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.901] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.927] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.936] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.959] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.969] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.986] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:10.998] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.045] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.050] [info] Write
[2025-12-19 22:23:11.053] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.188] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.199] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.218] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.230] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.260] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.285] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.296] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.306] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.315] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.326] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.367] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.406] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.424] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.441] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.456] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.465] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.503] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:23:11.527] [debug] [MultiThreadDetector] queue is full!
