[2025-12-20 20:00:06.583] [info] HikRobot's daemon thread started.
[2025-12-20 20:00:06.759] [info] [Aimer] successfully loading shootmode
[2025-12-20 20:00:07.807] [info] HikRobot's capture thread started.
[2025-12-20 20:00:08.525] [debug] [Target] r=0.097, l=-0.188
[2025-12-20 20:00:08.525] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:08.684] [debug] [Target] r=0.098, l=-0.183
[2025-12-20 20:00:08.684] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.589] [debug] [Target] r=0.185, l=-0.288
[2025-12-20 20:00:13.589] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.622] [debug] [Target] r=0.114, l=-0.086
[2025-12-20 20:00:13.622] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.654] [debug] [Target] r=0.113, l=-0.087
[2025-12-20 20:00:13.654] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.709] [debug] [Target] r=0.068, l=-0.108
[2025-12-20 20:00:13.710] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.741] [debug] [Target] r=0.114, l=-0.086
[2025-12-20 20:00:13.741] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.790] [debug] [Target] r=0.072, l=-0.106
[2025-12-20 20:00:13.790] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:13.827] [debug] [Target] r=0.113, l=-0.087
[2025-12-20 20:00:13.827] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:14.195] [debug] [Target] r=0.086, l=-0.151
[2025-12-20 20:00:14.195] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:14.453] [debug] [Target] r=0.076, l=-0.135
[2025-12-20 20:00:14.453] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:14.534] [debug] [Target] r=0.075, l=-0.128
[2025-12-20 20:00:14.534] [debug] [Tracker] Target diverged!
[2025-12-20 20:00:14.565] [debug] [Target] r=0.113, l=-0.087
[2025-12-20 20:00:14.565] [debug] [Tracker] Target diverged!
