[2026-01-09 11:06:43.556] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:43.826] [info] HikRobot's capture thread started.
[2026-01-09 11:06:45.700] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:45.942] [info] HikRobot's capture thread started.
[2026-01-09 11:06:47.839] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.884] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.904] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.914] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.929] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.939] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.954] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.964] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.979] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:47.989] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.004] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.014] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.029] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.039] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.054] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.064] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.079] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.089] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.104] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.114] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.129] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.139] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.154] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.164] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.184] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.194] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.209] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.219] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.234] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.244] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.264] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.275] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.292] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.303] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.318] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.328] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.345] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.356] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.372] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.383] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.400] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.411] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.427] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.437] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.452] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.463] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.479] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.489] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.504] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.514] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
